predicted,reasoning,actual
0,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 3 object: [0, 1, 2]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 2]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 2]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 0, 'relation': 'left'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: []', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': '0'}""]",2
2,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 9 object: [0, 1, 2, 3, 4, 5, 6, 7, 8]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'purple', 'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [5, 8]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 2}""]",2
1,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 3 object: [0, 1, 2]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cube'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': '1'}""]",1
0,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 8 object: [0, 1, 2, 3, 4, 5, 6, 7]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'size': 'small', 'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [3]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 3, 'relation': 'left'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [0, 5]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 0, 'relation': 'right'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [1, 2, 3, 4, 6, 7]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 3, 'relation': 'left'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [0, 5]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 3, 'relation': 'left'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [0, 5]', ""query_attribute: EventType.action - Action: query_attribute starts, Args: {'object_id': 3, 'attribute': 'color'}"", 'query_attribute: EventType.action_output - Action: query_attribute finishes, Observation: purple', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': '0'}""]",1
2,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 5 object: [0, 1, 2, 3, 4]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'sphere'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1, 3]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 2}""]",2
0,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 4 object: [0, 1, 2, 3]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'size': 'small', 'material': 'rubber'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': '0'}""]",1
0,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 8 object: [0, 1, 2, 3, 4, 5, 6, 7]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'green', 'shape': 'cube'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [4]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1, 5]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 4, 'relation': 'front'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [0]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 0, 'relation': 'behind'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [1, 2, 3, 4, 5, 6, 7]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 0, 'relation': 'front'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: []', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 4, 'relation': 'front'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [0]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 4, 'relation': 'front'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [0]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 0}""]",0
3,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 10 object: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 5, 7]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 3}""]",3
4,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 8 object: [0, 1, 2, 3, 4, 5, 6, 7]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cylinder', 'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 3, 5, 6]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 4}""]",4
0,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 4 object: [0, 1, 2, 3]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'blue', 'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'rubber'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 3]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'rubber'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 3]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 0, 'relation': 'left'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [1, 2, 3]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 0, 'relation': 'left'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [1, 2, 3]', ""get_same_objects: EventType.action - Action: get_same_objects starts, Args: {'object_id': 0, 'attribute': 'material'}"", 'get_same_objects: EventType.action_output - Action: get_same_objects finishes, Observation: [3]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 0}""]",1
2,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 10 object: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cube'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [2, 4]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 2}""]",2
3,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 8 object: [0, 1, 2, 3, 4, 5, 6, 7]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'sphere'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [2, 5, 7]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 3}""]",3
3,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 4 object: [0, 1, 2, 3]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 2, 3]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 3}""]",3
3,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 9 object: [0, 1, 2, 3, 4, 5, 6, 7, 8]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'size': 'small', 'shape': 'sphere'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 5, 7]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 3}""]",3
0,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 10 object: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 0}""]",3
0,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 4 object: [0, 1, 2, 3]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 1, 3]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'gray'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: []', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 0}""]",3
4,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 10 object: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1, 2, 6, 9]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 4}""]",4
0,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 5 object: [0, 1, 2, 3, 4]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'rubber'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'rubber'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 0}""]",1
1,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 4 object: [0, 1, 2, 3]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'size': 'small', 'shape': 'cube'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [3]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 1}""]",1
4,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 5 object: [0, 1, 2, 3, 4]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1, 2, 3, 4]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 4}""]",4
3,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 8 object: [0, 1, 2, 3, 4, 5, 6, 7]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'Shape': 'sphere'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [4, 5, 7]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 3}""]",3
5,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 9 object: [0, 1, 2, 3, 4, 5, 6, 7, 8]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1, 2, 5, 6, 8]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 5}""]",5
2,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 3 object: [0, 1, 2]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'green', 'shape': 'cube', 'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 2]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 2}""]",2
no,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 10 object: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'rubber'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [3, 5, 6, 7, 9]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [0, 1, 2, 4, 8]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 'no'}""]",yes
no,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 8 object: [0, 1, 2, 3, 4, 5, 6, 7]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'gray', 'size': 'large', 'shape': 'cube', 'material': 'rubber'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: []', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 'no'}""]",yes
no,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 4 object: [0, 1, 2, 3]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'rubber (matte'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: []', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'material': 'metal (shining)'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: []', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 'no'}""]",no
no,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 9 object: [0, 1, 2, 3, 4, 5, 6, 7, 8]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'yellow', 'shape': 'cube', 'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: []', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 'no'}""]",no
no,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 3 object: [0, 1, 2]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1, 2]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'shape': 'cylinder'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1, 2]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 1, 'relation': 'Spatial relation to find'}"", 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 'no'}""]",no
no,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 10 object: [0, 1, 2, 3, 4, 5, 6, 7, 8, 9]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'yellow'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [2, 3, 6, 7]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'gold', 'material': 'metal'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: []', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 'no'}""]",no
no,"['start: EventType.action - Action: start starts, Args: {}', 'start: EventType.action_output - Action: start finishes, Observation: There are 3 object: [0, 1, 2]', ""filter_with_attribute: EventType.action - Action: filter_with_attribute starts, Args: {'attributes': {'color': 'purple', 'shape': 'sphere'}}"", 'filter_with_attribute: EventType.action_output - Action: filter_with_attribute finishes, Observation: [1]', ""get_related_objects: EventType.action - Action: get_related_objects starts, Args: {'object_id': 1, 'relation': 'left'}"", 'get_related_objects: EventType.action_output - Action: get_related_objects finishes, Observation: [0, 2]', 'answer: EventType.action - Action: answer starts, Args: {}', ""answer: EventType.action_output - Action: answer finishes, Observation: {'answer': 'no'}""]",no
